name,address,city,country,n_porches,n_flats,n_floors,n_occupants
"ул Гризодубовой, дом 4, к 1","Гризодубовой ул., д.4, к.1",Москва,Россия,6,187,12,22337
"ул Гризодубовой, дом 4, к 3","Гризодубовой ул., д.4, к.3",Москва,Россия,4,168,18,20208
"ул Гризодубовой, дом 4, к 4","Гризодубовой ул., д.4, к.4",Москва,Россия,7,272,18,32182
"ул Гризодубовой, дом 1, к 2","Гризодубовой ул., д.1, к.2",Москва,Россия,1,64,17,4667
"ул Гризодубовой, дом 1, к 5","Гризодубовой ул., д.1, к.5",Москва,Россия,3,192,17,10924
"ул Гризодубовой, дом 1, к 1","Гризодубовой ул., д.1, к.1",Москва,Россия,2,125,17,8332
"ул Гризодубовой, дом 2","Гризодубовой ул., д.2",Москва,Россия,5,294,23,31056
"ул Гризодубовой, дом 1, к 4","Гризодубовой ул., д.1, к.4",Москва,Россия,1,64,17,4643
"ул Гризодубовой, дом 1, к 3","Гризодубовой ул., д.1, к.3",Москва,Россия,1,64,17,4649
"Дмитровский проезд, дом 16, к 2","Дмитровский пр., д.16, к.2",Москва,Россия,1,59,12,2835
"Дмитровский проезд, дом 20, к 1","Дмитровский пр., д.20, к.1",Москва,Россия,1,161,25,9148
"Дмитровский проезд, дом 16","Дмитровский пр., д.16",Москва,Россия,6,286,12,14569
"Дмитровский проезд, дом 4","Дмитровский пр., д.4",Москва,Россия,4,40,8,2696
"Дмитровский проезд, дом 8","Дмитровский пр., д.8",Москва,Россия,6,167,8,10352
"Дмитровский проезд, дом 6, к 1","Дмитровский пр., д.6, к.1",Москва,Россия,4,126,9,5846
"Дмитровский проезд, дом 4, к 3","Дмитровский пр., д.4, к.3",Москва,Россия,3,26,6,2194
"Дмитровский проезд, дом 4, к 4","Дмитровский пр., д.4, к.4",Москва,Россия,1,10,6,898
"Дмитровский проезд, дом 18","Дмитровский пр., д.18",Москва,Россия,6,286,12,14481
"Дмитровский проезд, дом 6, к 2","Дмитровский пр., д.6, к.2",Москва,Россия,4,126,9,5879
"Дмитровский проезд, дом 20, к 2","Дмитровский пр., д.20, к.2",Москва,Россия,1,161,25,9217
"Дмитровский проезд, дом 14","Дмитровский пр., д.14",Москва,Россия,6,160,9,7581
"Дмитровское ш, дом 42","Дмитровское шоссе, д.42",Москва,Россия,6,162,8,11498
"Дмитровское ш, дом 38, к 1","Дмитровское шоссе, д.38, к.1",Москва,Россия,3,46,5,3081
"Дмитровское ш, дом 33, к 7","Дмитровское шоссе, д.33, к.7",Москва,Россия,2,135,17,7349
"Дмитровское ш, дом 64, к 1","Дмитровское шоссе, д.64, к.1",Москва,Россия,1,80,12,3465
"Дмитровское ш, дом 36, к 2","Дмитровское шоссе, д.36, к.2",Москва,Россия,3,60,5,2506
"Дмитровское ш, дом 27, к 4","Дмитровское шоссе, д.27, к.4",Москва,Россия,1,69,14,2473
"Дмитровское ш, дом 48, к 2","Дмитровское шоссе, д.48, к.2",Москва,Россия,3,60,5,2487
"Дмитровское ш, дом 55, к 2","Дмитровское шоссе, д.55, к.2",Москва,Россия,4,80,5,3686
"Дмитровское ш, дом 55, к 1","Дмитровское шоссе, д.55, к.1",Москва,Россия,4,80,5,3721
"Дмитровское ш, дом 96, к 1","Дмитровское шоссе, д.96, к.1",Москва,Россия,5,320,17,15478
"Дмитровское ш, дом 33, к 5","Дмитровское шоссе, д.33, к.5",Москва,Россия,1,108,16,5117
"Дмитровское ш, дом 17, к 1","Дмитровское шоссе, д.17, к.1",Москва,Россия,4,80,5,3408
"Дмитровское ш, дом 21, к 2","Дмитровское шоссе, д.21, к.2",Москва,Россия,1,64,9,2250
"Дмитровское ш, дом 52, к 1","Дмитровское шоссе, д.52, к.1",Москва,Россия,7,108,7,7435
"Дмитровское ш, дом 27, к 3","Дмитровское шоссе, д.27, к.3",Москва,Россия,3,143,12,7231
"Дмитровское ш, дом 33, к 4","Дмитровское шоссе, д.33, к.4",Москва,Россия,1,107,16,5130
"Дмитровское ш, дом 13, к 2","Дмитровское шоссе, д.13, к.2",Москва,Россия,4,64,5,2816
"Дмитровское ш, дом 7, к 2","Дмитровское шоссе, д.7, к.2",Москва,Россия,6,203,8,14352
"Дмитровское ш, дом 13А","Дмитровское шоссе, д.13А",Москва,Россия,3,555,30,42495
"Дмитровское ш, дом 13, к 3","Дмитровское шоссе, д.13, к.3",Москва,Россия,4,64,5,2816
"Дмитровское ш, дом 54, к 2","Дмитровское шоссе, д.54, к.2",Москва,Россия,4,80,5,3513
"Дмитровское ш, дом 44, к 2","Дмитровское шоссе, д.44, к.2",Москва,Россия,2,178,9,5696
"Дмитровское ш, дом 33, к 2","Дмитровское шоссе, д.33, к.2",Москва,Россия,3,141,12,7183
"Дмитровское ш, дом 21, к 1","Дмитровское шоссе, д.21, к.1",Москва,Россия,4,78,5,3324
"Дмитровское ш, дом 64, к 3","Дмитровское шоссе, д.64, к.3",Москва,Россия,1,80,12,3483
"Дмитровское ш, дом 15, к 1","Дмитровское шоссе, д.15, к.1",Москва,Россия,1,64,9,2229
"Дмитровское ш, дом 45, к 3","Дмитровское шоссе, д.45, к.3",Москва,Россия,1,98,14,4213
"Дмитровское ш, дом 1, к 1","Дмитровское шоссе, д.1, к.1",Москва,Россия,10,154,5,6828
"Дмитровское ш, дом 30, к 1","Дмитровское шоссе, д.30, к.1",Москва,Россия,4,64,5,2720
"Дмитровское ш, дом 63, к 1","Дмитровское шоссе, д.63, к.1",Москва,Россия,4,64,5,2725
"Дмитровское ш, дом 19, к 2","Дмитровское шоссе, д.19, к.2",Москва,Россия,1,64,9,2245
"Дмитровское ш, дом 3, к 2","Дмитровское шоссе, д.3, к.2",Москва,Россия,3,43,5,2919
"Дмитровское ш, дом 37, к 1","Дмитровское шоссе, д.37, к.1",Москва,Россия,10,346,9,16510
"Дмитровское ш, дом 32, к 1","Дмитровское шоссе, д.32, к.1",Москва,Россия,4,80,5,3404
"Дмитровское ш, дом 46, к 1","Дмитровское шоссе, д.46, к.1",Москва,Россия,6,167,8,12137
"Дмитровское ш, дом 47, к 2","Дмитровское шоссе, д.47, к.2",Москва,Россия,1,248,15,9020
"Дмитровское ш, дом 25, к 1","Дмитровское шоссе, д.25, к.1",Москва,Россия,6,177,9,14349
"Дмитровское ш, дом 94, к 1","Дмитровское шоссе, д.94, к.1",Москва,Россия,1,161,24,8556
"Дмитровское ш, дом 23, к 1","Дмитровское шоссе, д.23, к.1",Москва,Россия,3,60,5,2549
"Дмитровское ш, дом 29, к 1","Дмитровское шоссе, д.29, к.1",Москва,Россия,10,346,9,16710
"Дмитровское ш, дом 34, к 1","Дмитровское шоссе, д.34, к.1",Москва,Россия,4,115,8,8018
"Дмитровское ш, дом 41, к 2","Дмитровское шоссе, д.41, к.2",Москва,Россия,3,143,12,7217
"Дмитровское ш, дом 50, к 1","Дмитровское шоссе, д.50, к.1",Москва,Россия,6,164,8,12057
"Дмитровское ш, дом 13, к 4","Дмитровское шоссе, д.13, к.4",Москва,Россия,4,80,5,3574
"Дмитровское ш, дом 13, к 5","Дмитровское шоссе, д.13, к.5",Москва,Россия,4,80,5,3530
"Дмитровское ш, дом 27, к 2","Дмитровское шоссе, д.27, к.2",Москва,Россия,6,213,9,10449
"Дмитровское ш, дом 31","Дмитровское шоссе, д.31",Москва,Россия,1,96,12,3607
"Дмитровское ш, дом 96, к 3","Дмитровское шоссе, д.96, к.3",Москва,Россия,1,155,24,8511
"Дмитровское ш, дом 51, к 1","Дмитровское шоссе, д.51, к.1",Москва,Россия,6,165,8,11941
"Дмитровское ш, дом 44, к 3","Дмитровское шоссе, д.44, к.3",Москва,Россия,3,49,5,3601
"Дмитровское ш, дом 59, к 1","Дмитровское шоссе, д.59, к.1",Москва,Россия,6,170,8,12161
"Дмитровское ш, дом 33, к 1","Дмитровское шоссе, д.33, к.1",Москва,Россия,8,278,9,13770
"Дмитровское ш, дом 19, к 1","Дмитровское шоссе, д.19, к.1",Москва,Россия,4,76,5,3243
"Дмитровское ш, дом 3, к 1","Дмитровское шоссе, д.3, к.1",Москва,Россия,3,148,10,9533
"Дмитровское ш, дом 64, к 4","Дмитровское шоссе, д.64, к.4",Москва,Россия,2,168,22,9650
"Дмитровское ш, дом 65, к 1","Дмитровское шоссе, д.65, к.1",Москва,Россия,1,68,9,2437
"Дмитровское ш, дом 96, к 4","Дмитровское шоссе, д.96, к.4",Москва,Россия,4,208,14,10510
"Дмитровское ш, дом 7, к 1","Дмитровское шоссе, д.7, к.1",Москва,Россия,5,49,6,3756
"Дмитровское ш, дом 57, к 1","Дмитровское шоссе, д.57, к.1",Москва,Россия,3,50,5,3437
"Дмитровское ш, дом 44, к 1","Дмитровское шоссе, д.44, к.1",Москва,Россия,3,50,5,3505
"Дмитровское ш, дом 36, к 1","Дмитровское шоссе, д.36, к.1",Москва,Россия,3,50,5,3386
"Дмитровское ш, дом 45, к 1","Дмитровское шоссе, д.45, к.1",Москва,Россия,4,144,9,7226
"Дмитровское ш, дом 51, к 2","Дмитровское шоссе, д.51, к.2",Москва,Россия,3,60,5,2557
"Дмитровское ш, дом 33, к 6","Дмитровское шоссе, д.33, к.6",Москва,Россия,2,132,17,7416
"Дмитровское ш, дом 28","Дмитровское шоссе, д.28",Москва,Россия,4,80,5,3455
"Дмитровское ш, дом 43, к 1","Дмитровское шоссе, д.43, к.1",Москва,Россия,10,345,9,16621
"Дмитровское ш, дом 17, к 2","Дмитровское шоссе, д.17, к.2",Москва,Россия,1,64,9,2248
"Дмитровское ш, дом 96, к 5","Дмитровское шоссе, д.96, к.5",Москва,Россия,4,211,14,10304
"Дмитровское ш, дом 45, к 2","Дмитровское шоссе, д.45, к.2",Москва,Россия,1,96,14,4116
"Дмитровское ш, дом 39, к 1","Дмитровское шоссе, д.39, к.1",Москва,Россия,8,285,9,14203
"Дмитровское ш, дом 35, к 1","Дмитровское шоссе, д.35, к.1",Москва,Россия,6,215,9,10763
"Дмитровское ш, дом 52, к 2","Дмитровское шоссе, д.52, к.2",Москва,Россия,4,80,5,3372
"Дмитровское ш, дом 57, к 2","Дмитровское шоссе, д.57, к.2",Москва,Россия,1,84,12,3639
"Дмитровское ш, дом 48, к 1","Дмитровское шоссе, д.48, к.1",Москва,Россия,3,50,5,3436
"Дмитровское ш, дом 15, к 2","Дмитровское шоссе, д.15, к.2",Москва,Россия,4,80,5,3531
"Дмитровское ш, дом 41, к 1","Дмитровское шоссе, д.41, к.1",Москва,Россия,6,215,9,10602
"Дмитровское ш, дом 32, к 3","Дмитровское шоссе, д.32, к.3",Москва,Россия,3,36,4,1924
"Дмитровское ш, дом 32, к 2","Дмитровское шоссе, д.32, к.2",Москва,Россия,3,60,5,2535
"Дмитровское ш, дом 47, стр 3","Дмитровское ш, дом 47, стр 3",Москва,Россия,NULL,NULL,NULL,NULL
"Дмитровское ш, дом 61, к 1","Дмитровское шоссе, д.61, к.1",Москва,Россия,4,76,5,3232
"Дмитровское ш, дом 39, к 2","Дмитровское шоссе, д.39, к.2",Москва,Россия,1,96,12,3600
"Дмитровское ш, дом 40, к 1","Дмитровское шоссе, д.40, к.1",Москва,Россия,3,41,5,2953
"Дмитровское ш, дом 5, к 1","Дмитровское шоссе, д.5, к.1",Москва,Россия,14,126,7,9837
"Дмитровское ш, дом 65, к 2","Дмитровское шоссе, д.65, к.2",Москва,Россия,5,73,5,3993
"Дмитровское ш, дом 64, к 2","Дмитровское шоссе, д.64, к.2",Москва,Россия,1,80,12,3470
"Дмитровское ш, дом 64, к 5","Дмитровское шоссе, д.64, к.5",Москва,Россия,3,110,12,5723
"Дмитровское ш, дом 63, к 2","Дмитровское шоссе, д.63, к.2",Москва,Россия,1,98,14,4269
"ул Дубки, дом 2","Дубки ул., д.2",Москва,Россия,1,126,15,6863
"ул Дубки, дом 4А","Дубки ул., д.4А",Москва,Россия,1,126,15,6905
"ул Дубки, дом 13","Дубки ул., д.13",Москва,Россия,1,81,12,3484
"ул Дубки, дом 3","Дубки ул., д.3",Москва,Россия,4,80,5,3424
"ул Дубки, дом 12","Дубки ул., д.12",Москва,Россия,1,96,12,3620
"ул Дубки, дом 1","Дубки ул., д.1",Москва,Россия,3,60,5,2580
"ул Дубки, дом 4","Дубки ул., д.4",Москва,Россия,1,125,15,6859
"ул Дубки, дом 11","Дубки ул., д.11",Москва,Россия,5,180,9,7797
"ул Дубки, дом 2А","Дубки ул., д.2А",Москва,Россия,1,130,15,7107
"ул Дубки, дом 7","Дубки ул., д.7",Москва,Россия,1,80,12,3450
"Дубнинская ул, дом 39","Дубнинская ул., д.39",Москва,Россия,5,286,17,16248
"Дубнинская ул, дом 53, к 1","Дубнинская ул., д.53, к.1",Москва,Россия,5,296,17,13635
"Дубнинская ул, дом 53, к 2","Дубнинская ул., д.53, к.2",Москва,Россия,4,256,17,14390
"Дубнинская ул, дом 53, к 3","Дубнинская ул., д.53, к.3",Москва,Россия,6,387,17,21779
"Дубнинская ул, дом 71, к 1","Дубнинская ул., д.71, к.1",Москва,Россия,2,206,16,10613
"Дубнинская ул, дом 27, к 2","Дубнинская ул., д.27, к.2",Москва,Россия,3,252,22,16146
"Дубнинская ул, дом 45, к 1","Дубнинская ул., д.45, к.1",Москва,Россия,5,320,17,17968
"Дубнинская ул, дом 5, к 1","Дубнинская ул., д.5, к.1",Москва,Россия,2,95,12,5197
"Дубнинская ул, дом 37, к 2","Дубнинская ул., д.37, к.2",Москва,Россия,3,294,22,14946
"Дубнинская ул, дом 27, к 1","Дубнинская ул., д.27, к.1",Москва,Россия,5,319,17,18306
"Дубнинская ул, дом 29, к 1","Дубнинская ул., д.29, к.1",Москва,Россия,7,399,17,22686
"Дубнинская ул, дом 47, к 1","Дубнинская ул., д.47, к.1",Москва,Россия,4,210,14,11993
"Дубнинская ул, дом 3","Дубнинская ул., д.3",Москва,Россия,5,270,16,17633
"Дубнинская ул, дом 37, к 1","Дубнинская ул., д.37, к.1",Москва,Россия,5,301,17,17007
"Дубнинская ул, дом 69, к 3","Дубнинская ул., д.69, к.3",Москва,Россия,1,111,16,5284
"Дубнинская ул, дом 5, к 2","Дубнинская ул., д.5, к.2",Москва,Россия,3,136,12,7854
"Дубнинская ул, дом 61","Дубнинская ул., д.61",Москва,Россия,4,215,9,10648
"Дубнинская ул, дом 71, к 2","Дубнинская ул, дом 71, к 2",Москва,Россия,NULL,NULL,NULL,NULL
"Дубнинская ул, дом 43","Дубнинская ул., д.43",Москва,Россия,3,158,14,10909
"Дубнинская ул, дом 1","Дубнинская ул., д.1",Москва,Россия,1,80,12,3459
"Дубнинская ул, дом 35","Дубнинская ул., д.35",Москва,Россия,3,165,14,10495
"Дубнинская ул, дом 69, к 2","Дубнинская ул., д.69, к.2",Москва,Россия,6,215,9,10779
"Дубнинская ул, дом 69, к 1","Дубнинская ул., д.69, к.1",Москва,Россия,1,108,16,5182
"ул Зорге, дом 10, к 2","Зорге ул., д.10, к.2",Москва,Россия,2,100,10,6032
"ул Зорге, дом 14, к 3","Зорге ул., д.14, к.3",Москва,Россия,2,66,8,4542
"ул Зорге, дом 20","Зорге ул., д.20",Москва,Россия,3,48,4,3167
"ул Зорге, дом 6, к 2","Зорге ул., д.6, к.2",Москва,Россия,2,100,10,6018
"ул Зорге, дом 10, к 1","Зорге ул., д.10, к.1",Москва,Россия,1,72,6,5045
"ул Зорге, дом 2","Зорге ул., д.2/92",Москва,Россия,2,59,8,3949
"ул Зорге, дом 14, к 1","Зорге ул., д.14, к.1",Москва,Россия,2,54,8,3936
"ул Зорге, дом 14, к 2","Зорге ул., д.14, к.2",Москва,Россия,3,86,8,6328
"ул Зорге, дом 6, к 1","Зорге ул., д.6, к.1",Москва,Россия,1,72,6,5012
"ул Зорге, дом 18, к 3","Зорге ул., д.18, к.3",Москва,Россия,2,64,8,4199
"ул Зорге, дом 18, к 1","Зорге ул., д.18, к.1",Москва,Россия,2,56,8,3952
"ул Зорге, дом 16","Зорге ул., д.16",Москва,Россия,3,96,8,6506
"ул Зорге, дом 6, к 3","Зорге ул., д.6, к.3",Москва,Россия,1,68,6,4803
"ул Зорге, дом 10, к 3","Зорге ул., д.10, к.3",Москва,Россия,1,66,6,4636
"ул Зорге, дом 18, к 2","Зорге ул., д.18, к.2",Москва,Россия,3,88,8,6393
"Ивановская ул, дом 26","Ивановская ул., д.26",Москва,Россия,1,84,12,3640
"Ивановская ул, дом 34","Ивановская ул., д.34",Москва,Россия,1,138,14,6482
"Ивановская ул, дом 32","Ивановская ул., д.32",Москва,Россия,2,40,5,1571
"Ивановская ул, дом 32","Ивановская ул., д.32",Москва,Россия,2,40,5,1571
"Ивановская ул, дом 14, к 2","Ивановская ул., д.14, к.2",Москва,Россия,4,80,5,3471
"Ивановская ул, дом 18","Ивановская ул., д.18",Москва,Россия,4,59,5,3298
"Ивановская ул, дом 22","Ивановская ул., д.22",Москва,Россия,4,80,5,3521
"Ивановская ул, дом 16","Ивановская ул., д.16",Москва,Россия,1,84,12,3623
"Ивановская ул, дом 20","Ивановская ул., д.20",Москва,Россия,1,84,12,3643
"Ивановская ул, дом 14, к 1","Ивановская ул., д.14, к.1",Москва,Россия,4,79,5,3469
"2-я Квесисская ул, дом 24, к 1","Квесисская 2-я ул., д.24, к.1",Москва,Россия,1,84,12,3639
"2-я Квесисская ул, дом 21","Квесисская 2-я ул., д.21",Москва,Россия,1,40,5,1664
"2-я Квесисская ул, дом 6","2-я Квесисская ул, дом 6",Москва,Россия,NULL,NULL,NULL,NULL
"2-я Квесисская ул, дом 25","Квесисская 2-я ул., д.25",Москва,Россия,1,109,16,5166
"2-я Квесисская ул, дом 11","Квесисская 2-я ул., д.11",Москва,Россия,4,80,5,3472
"2-я Квесисская ул, дом 23","Квесисская 2-я ул., д.23",Москва,Россия,5,224,12,12119
"2-я Квесисская ул, дом 20, к 1","Квесисская 2-я ул., д.20, к.1",Москва,Россия,2,132,23,12017
"2-я Квесисская ул, дом 15","Квесисская 2-я ул., д.15",Москва,Россия,4,80,5,3437
"2-я Квесисская ул, дом 18","Квесисская 2-я ул., д.18",Москва,Россия,4,80,5,3420
"2-я Квесисская ул, дом 9","Квесисская 2-я ул., д.9",Москва,Россия,4,80,5,3405
"2-я Квесисская ул, дом 24, к 2","Квесисская 2-я ул., д.24, к.2",Москва,Россия,1,64,12,3410
"2-я Квесисская ул, дом 13","Квесисская 2-я ул., д.13",Москва,Россия,4,80,5,3400
"2-я Квесисская ул, дом 22","Квесисская 2-я ул., д.22",Москва,Россия,1,84,12,3644
"2-я Квесисская ул, дом 24, к 3","Квесисская 2-я ул., д.24, к.3",Москва,Россия,1,47,10,5368
"ул Костякова, дом 13","Костякова ул., д.13",Москва,Россия,4,80,5,3525
"ул Костякова, дом 17, к 2","Костякова ул., д.17, к.2",Москва,Россия,5,164,9,7005
"ул Костякова, дом 9","Костякова ул., д.9",Москва,Россия,5,142,8,6250
"ул Костякова, дом 10","Костякова ул., д.10",Москва,Россия,14,275,7,19509
"ул Костякова, дом 8","Костякова ул., д.8",Москва,Россия,9,255,8,17694
"ул Костякова, дом 17, к 1","Костякова ул., д.17, к.1",Москва,Россия,4,137,9,5783
"ул Костякова, дом 7/7","Костякова ул., д.7/7",Москва,Россия,6,172,8,12138
"ул Костякова, дом 6/5","Костякова ул., д.6/5",Москва,Россия,7,195,8,13837
"ул Костякова, дом 2/6","Костякова ул., д.2/6",Москва,Россия,6,189,9,8697
"ул Костякова, дом 11, к 1","Костякова ул., д.11, к.1",Москва,Россия,1,71,12,3405
"ул Костякова, дом 5","Костякова ул., д.5",Москва,Россия,3,45,5,2461
"ул Костякова, дом 11","Костякова ул., д.11",Москва,Россия,4,80,5,3540
"ул Костякова, дом 15","Костякова ул., д.15",Москва,Россия,5,160,9,6979
"Красностуденческий проезд, дом 13","Красностуденческий пр., д.13",Москва,Россия,1,96,12,3693
"Красностуденческий проезд, дом 5","Красностуденческий пр., д.5",Москва,Россия,1,96,12,3631
"Красностуденческий проезд, дом 1","Красностуденческий пр., д.1",Москва,Россия,4,125,8,8337
"Красностуденческий проезд, дом 4","Красностуденческий пр., д.4",Москва,Россия,4,222,14,12618
"Красностуденческий проезд, дом 7","Красностуденческий пр., д.7",Москва,Россия,1,107,16,9195
"Красностуденческий проезд, дом 2","Красностуденческий пр., д.2",Москва,Россия,6,283,12,16333
"Красностуденческий проезд, дом 6","Красностуденческий пр., д.6",Москва,Россия,4,259,18,29390
"Красностуденческий проезд, дом 21","Красностуденческий пр., д.21",Москва,Россия,1,84,12,3676
"Красностуденческий проезд, дом 11","Красностуденческий пр., д.11",Москва,Россия,3,30,5,2182
"Красностуденческий проезд, дом 15","Красностуденческий пр., д.15",Москва,Россия,3,30,5,2214
"Красностуденческий проезд, дом 9","Красностуденческий пр., д.9",Москва,Россия,3,24,4,1815
"Красностуденческий проезд, дом 3","Красностуденческий пр., д.3",Москва,Россия,1,96,12,3662
"Красностуденческий проезд, дом 17","Красностуденческий пр., д.17",Москва,Россия,1,96,12,3672
"Красностуденческий проезд, дом 4, к 2","Красностуденческий пр., д.4, к.2",Москва,Россия,3,259,22,16418
"Красностуденческий проезд, дом 19","Красностуденческий пр., д.19",Москва,Россия,1,77,12,3303
"Красностуденческий проезд, дом 23","Красностуденческий пр., д.23",Москва,Россия,1,84,12,3632
"ул Куусинена, дом 11, к 2","Куусинена ул., д.11, к.2",Москва,Россия,2,86,10,5119
"ул Куусинена, дом 9, к 3","Куусинена ул., д.9, к.3",Москва,Россия,1,70,6,4883
"ул Куусинена, дом 17, к 3","Куусинена ул., д.17, к.3",Москва,Россия,2,62,8,4185
"ул Куусинена, дом 4А, к 2","Куусинена ул., д.4А, к.2",Москва,Россия,5,144,8,6020
"ул Куусинена, дом 19, к 2","Куусинена ул., д.19, к.2",Москва,Россия,3,99,9,7291
"ул Куусинена, дом 6, к 12","Куусинена ул., д.6, к.12",Москва,Россия,1,84,12,3614
"ул Куусинена, дом 4А, к 1","Куусинена ул., д.4А, к.1",Москва,Россия,5,147,8,6274
"ул Куусинена, дом 17, к 1","Куусинена ул., д.17, к.1",Москва,Россия,2,70,8,4695
"ул Куусинена, дом 6, к 2","Куусинена ул., д.6, к.2",Москва,Россия,3,66,8,4962
"ул Куусинена, дом 21А","Куусинена ул., д.21А",Москва,Россия,3,115,11,15474
"ул Куусинена, дом 7, к 3","Куусинена ул., д.7, к.3",Москва,Россия,1,71,6,4970
"ул Куусинена, дом 6, к 10","Куусинена ул., д.6, к.10",Москва,Россия,1,96,12,3609
"ул Куусинена, дом 2, к 2","Куусинена ул., д.2, к.2",Москва,Россия,3,60,5,3861
"ул Куусинена, дом 6А, к 1","Куусинена ул., д.6А, к.1",Москва,Россия,1,84,12,3621
"ул Куусинена, дом 6, к 4","Куусинена ул., д.6, к.4",Москва,Россия,4,80,5,3366
"ул Куусинена, дом 15, к 3","Куусинена ул., д.15, к.3",Москва,Россия,1,35,7,2302
"ул Куусинена, дом 9, к 2","Куусинена ул., д.9, к.2",Москва,Россия,2,88,10,5397
"ул Куусинена, дом 7, к 1","Куусинена ул., д.7, к.1",Москва,Россия,1,66,6,4613
"ул Куусинена, дом 6, к 9","Куусинена ул., д.6, к.9",Москва,Россия,1,84,12,3617
"ул Куусинена, дом 6, к 11","Куусинена ул., д.6, к.11",Москва,Россия,1,84,12,3615
"ул Куусинена, дом 6, к 1","Куусинена ул., д.6, к.1",Москва,Россия,3,75,8,5117
"ул Куусинена, дом 2, к 1","Куусинена ул., д.2, к.1",Москва,Россия,3,48,5,3154
"ул Куусинена, дом 11, к 1","Куусинена ул., д.11, к.1",Москва,Россия,1,68,6,4680
"ул Куусинена, дом 17, к 2","Куусинена ул., д.17, к.2",Москва,Россия,3,106,12,7522
"ул Куусинена, дом 4, к 1","Куусинена ул., д.4, к.1",Москва,Россия,3,50,5,3294
"ул Куусинена, дом 4, к 2","Куусинена ул., д.4, к.2",Москва,Россия,3,52,5,3422
"ул Куусинена, дом 4А, к 4","Куусинена ул., д.4А, к.4",Москва,Россия,4,140,9,6952
"ул Куусинена, дом 6, к 8","Куусинена ул., д.6, к.8",Москва,Россия,4,151,9,8063
"ул Куусинена, дом 15, к 2","Куусинена ул., д.15, к.2",Москва,Россия,3,102,9,7393
"ул Куусинена, дом 4А, к 5","Куусинена ул., д.4А, к.5",Москва,Россия,4,143,9,7135
"ул Куусинена, дом 19, к 1","Куусинена ул., д.19, к.1",Москва,Россия,1,35,7,2203
"ул Куусинена, дом 6, к 6","Куусинена ул., д.6, к.6",Москва,Россия,3,58,5,2466
"ул Куусинена, дом 4А, к 3","Куусинена ул., д.4А, к.3",Москва,Россия,4,143,9,7137
"ул Куусинена, дом 11, к 3","Куусинена ул., д.11, к.3",Москва,Россия,1,69,6,4700
"ул Куусинена, дом 4, к 3","Куусинена ул., д.4, к.3",Москва,Россия,3,42,5,2755
"ул Куусинена, дом 19, к 3","Куусинена ул., д.19, к.3",Москва,Россия,2,56,7,3886
"ул Куусинена, дом 6, к 7","Куусинена ул., д.6, к.7",Москва,Россия,4,80,5,3400
"ул Куусинена, дом 7, к 2","Куусинена ул., д.7, к.2",Москва,Россия,2,88,10,5421
"ул Куусинена, дом 6, к 3","Куусинена ул., д.6, к.3",Москва,Россия,3,66,8,4512
"ул Куусинена, дом 15, к 1","Куусинена ул., д.15, к.1",Москва,Россия,2,66,8,4558
"ул Куусинена, дом 1","Куусинена ул., д.1",Москва,Россия,4,113,8,7460
"ул Куусинена, дом 6, к 5","Куусинена ул., д.6, к.5",Москва,Россия,4,80,5,3390
"ул Куусинена, дом 6, к 13","Куусинена ул., д.6, к.13",Москва,Россия,3,118,9,5819
"ул Куусинена, дом 9, к 1","Куусинена ул., д.9, к.1",Москва,Россия,1,68,6,4771
"Ленинградский пр-кт, дом 57","Ленинградский просп., д.57",Москва,Россия,6,49,6,3748
"Ленинградский пр-кт, дом 24","Ленинградский просп., д.24",Москва,Россия,6,80,8,6630
"Ленинградский пр-кт, дом 43, к 2","Ленинградский просп., д.43, к.2",Москва,Россия,3,120,10,4986
"Ленинградский пр-кт, дом 19","Ленинградский просп., д.19",Москва,Россия,1,38,6,2337
"Ленинградский пр-кт, дом 10","Ленинградский просп., д.10",Москва,Россия,5,68,8,4888
"Ленинградский пр-кт, дом 45, к 2","Ленинградский просп., д.45, к.2",Москва,Россия,4,129,6,5617
"Ленинградский пр-кт, дом 3","Ленинградский пр-кт, дом 3",Москва,Россия,NULL,NULL,NULL,NULL
"Ленинградский пр-кт, дом 13","Ленинградский пр-кт, дом 13",Москва,Россия,NULL,NULL,NULL,NULL
"Ленинградский пр-кт, дом 37А","Ленинградский пр-кт, дом 37А",Москва,Россия,NULL,NULL,NULL,NULL
"Ленинградский пр-кт, дом 26, к 1","Ленинградский просп., д.26, к.1",Москва,Россия,5,30,7,2092
"Ленинградский пр-кт, дом 5, стр 2","Ленинградский просп., д.5, с.2",Москва,Россия,5,96,8,5995
"Ленинградский пр-кт, дом 11","Ленинградский просп., д.11",Москва,Россия,1,40,9,2336
"Ленинградский пр-кт, дом 59","Ленинградский просп., д.59",Москва,Россия,5,103,9,6685
"Ленинградский пр-кт, дом 33, к 5","Ленинградский просп., д.33, к.5",Москва,Россия,2,48,7,2246
"Ленинградский пр-кт, дом 26, к 2","Ленинградский просп., д.26, к.2",Москва,Россия,7,65,5,4855
"Ленинградский пр-кт, дом 18","Ленинградский просп., д.18",Москва,Россия,2,115,12,8359
"Ленинградский пр-кт, дом 27","Ленинградский просп., д.27",Москва,Россия,2,90,6,4821
"Ленинградский пр-кт, дом 33, к 1","Ленинградский просп., д.33, к.1",Москва,Россия,5,100,7,6486
"Ленинградский пр-кт, дом 33, к 1","Ленинградский просп., д.33, к.1",Москва,Россия,5,100,7,6486
