name,address,city,country,n_porches,n_flats,n_floors,n_occupants
"Башиловская ул, дом 23, к 3","Башиловская ул., д.23, к.3",Москва,Россия,1,111,16,5335
"Башиловская ул, дом 32","Башиловская ул., д.32",Москва,Россия,3,60,5,2502
"Башиловская ул, дом 8","Башиловская ул., д.8",Москва,Россия,1,72,9,2563
"Башиловская ул, дом 23, к 1","Башиловская ул., д.23, к.1",Москва,Россия,5,140,8,6227
"Башиловская ул, дом 13","Башиловская ул., д.13",Москва,Россия,3,45,5,2450
"Башиловская ул, дом 15","Башиловская ул., д.15",Москва,Россия,4,40,5,3188
"Башиловская ул, дом 25","Башиловская ул., д.25",Москва,Россия,4,80,5,3458
"Башиловская ул, дом 3, к 1","Башиловская ул., д.3, к.1",Москва,Россия,6,192,9,9378
"Башиловская ул, дом 10","Башиловская ул., д.10",Москва,Россия,7,133,5,5451
"Башиловская ул, дом 3, к 2","Башиловская ул., д.3, к.2",Москва,Россия,1,92,12,3476
"2-я ул Бебеля, дом 38, к 3","Бебеля 2-я ул., д.38, к.3",Москва,Россия,3,44,5,2439
"1-я ул Бебеля, дом 7А","Бебеля 1-я ул., д.7А",Москва,Россия,4,80,5,3525
"1-я ул Бебеля, дом 3","Бебеля 1-я ул., д.3",Москва,Россия,4,80,5,3491
"1-я ул Бебеля, дом 7","Бебеля 1-я ул., д.7",Москва,Россия,4,80,5,3497
"2-я ул Бебеля, дом 26","Бебеля 2-я ул., д.26",Москва,Россия,8,180,5,7739
"3-я ул Бебеля, дом 34","Бебеля 3-я ул., д.34",Москва,Россия,2,80,5,3227
"2-я ул Бебеля, дом 38, к 1","Бебеля 2-я ул., д.38, к.1",Москва,Россия,3,45,5,2560
"1-я ул Бебеля, дом 3А","Бебеля 1-я ул., д.3А",Москва,Россия,4,80,5,3458
"2-я ул Бебеля, дом 38, к 2","Бебеля 2-я ул., д.38, к.2",Москва,Россия,2,30,5,1632
"Беговая ул, дом 2","Беговая ул., д.2",Москва,Россия,5,139,8,9098
"Беговая ул, дом 4","Беговая ул., д.4",Москва,Россия,5,72,7,5951
"Беговая аллея, дом 5, к 2","Беговая аллея, д.5, к.2",Москва,Россия,1,58,12,3182
"Беговая ул, дом 13","Беговая ул., д.13",Москва,Россия,8,117,8,10154
"Беговая ул, дом 20, к 2","Беговая ул., д.20, к.2",Москва,Россия,2,40,5,1578
"Беговая ул, дом 15","Беговая ул., д.15",Москва,Россия,4,84,6,5392
"Беговая ул, дом 10","Беговая ул., д.10",Москва,Россия,2,30,5,1627
"Беговая аллея, дом 9","Беговая аллея, д.9",Москва,Россия,1,72,9,3026
"Беговая аллея, дом 3","Беговая аллея, д.3",Москва,Россия,7,197,8,13136
"Беговая ул, дом 5","Беговая ул., д.5",Москва,Россия,4,122,10,8208
"Беговая ул, дом 16","Беговая ул., д.16",Москва,Россия,3,30,5,2630
"Беговая ул, дом 26","Беговая ул., д.26",Москва,Россия,2,91,13,5306
"Беговая ул, дом 6","Беговая ул., д.6",Москва,Россия,2,88,12,4962
"Беговая аллея, дом 7, к 2","Беговая аллея, д.7, к.2",Москва,Россия,1,72,9,2971
"Беговая ул, дом 7","Беговая ул., д.7",Москва,Россия,8,248,10,16687
"Беговая ул, дом 18, к 2","Беговая ул., д.18, к.2",Москва,Россия,1,103,14,5056
"Беговая ул, дом 11","Беговая ул., д.11",Москва,Россия,7,184,9,12470
"Беговая ул, дом 20, к 1","Беговая ул., д.20, к.1",Москва,Россия,3,35,5,2203
"Беговая аллея, дом 5, к 1","Беговая аллея, д.5, к.1",Москва,Россия,4,73,5,3076
"Беговая ул, дом 34","Беговая ул., д.34",Москва,Россия,3,299,13,16867
"Беговая ул, дом 6, к 4","Беговая ул., д.6, к.4",Москва,Россия,1,110,14,5293
"Беговая ул, дом 18, к 1","Беговая ул., д.18, к.1",Москва,Россия,3,58,5,2407
"Беговая ул, дом 17, к 1","Беговая ул., д.17, к.1",Москва,Россия,5,80,7,7210
"Беговая ул, дом 6, к 3","Беговая ул., д.6, к.3",Москва,Россия,1,109,14,5401
"Беговая ул, дом 6, к 2","Беговая ул., д.6, к.2",Москва,Россия,1,112,14,5377
"Беговая ул, дом 28","Беговая ул., д.28",Москва,Россия,2,137,14,8889
"Беговая аллея, дом 5, к 3","Беговая аллея, д.5, к.3",Москва,Россия,1,57,12,3123
"Беговая ул, дом 32","Беговая ул., д.32",Москва,Россия,9,121,7,7985
"Беговая ул, дом 14","Беговая ул., д.14",Москва,Россия,4,77,5,2966
"Беговая ул, дом 24","Беговая ул., д.24",Москва,Россия,8,91,6,5387
"Беговой проезд, дом 11","Беговой пр., д.11",Москва,Россия,3,34,4,2307
"Беговой проезд, дом 7","Беговой пр., д.7",Москва,Россия,2,22,4,1303
"Беговой проезд, дом 8","Беговой пр., д.8",Москва,Россия,3,34,4,1709
"Беговой проезд, дом 9","Беговой пр., д.9",Москва,Россия,1,72,12,3525
"проезд Берёзовой Рощи, дом 8","Березовой Рощи пр., д.8",Москва,Россия,1,97,23,9579
"проезд Берёзовой Рощи, дом 12","Березовой Рощи пр., д.12",Москва,Россия,7,769,26,71625
"проезд Берёзовой Рощи, дом 6","Березовой Рощи пр., д.6",Москва,Россия,1,98,23,9557
"проезд Берёзовой Рощи, дом 4","Березовой Рощи пр., д.4",Москва,Россия,1,99,23,9547
"проезд Берёзовой Рощи, дом 3, к 1","Березовой Рощи пр., д.3, к.1",Москва,Россия,8,8,2,1238
"проезд Берёзовой Рощи, дом 10","Березовой Рощи пр., д.10",Москва,Россия,5,277,24,31525
"Бескудниковский проезд, дом 2, к 2","Бескудниковский пр., д.2, к.2",Москва,Россия,5,324,17,17776
"Бескудниковский б-р, дом 30, к 2","Бескудниковский бульв., д.30, к.2",Москва,Россия,1,161,24,8635
"Бескудниковский б-р, дом 32, к 4","Бескудниковский бульв., д.32, к.4",Москва,Россия,1,71,9,2576
"Бескудниковский б-р, дом 32, к 6","Бескудниковский бульв., д.32, к.6",Москва,Россия,6,351,17,19832
"Бескудниковский б-р, дом 2, к 3","Бескудниковский бульв., д.2, к.3",Москва,Россия,2,111,14,6125
"Бескудниковский б-р, дом 36, к 2","Бескудниковский бульв., д.36, к.2",Москва,Россия,1,111,16,5318
"Бескудниковский б-р, дом 10, к 2","Бескудниковский бульв., д.10, к.2",Москва,Россия,1,72,9,2581
"Бескудниковский б-р, дом 36, к 3","Бескудниковский бульв., д.36, к.3",Москва,Россия,1,95,16,5344
"Бескудниковский проезд, дом 4, к 2","Бескудниковский пр., д.4, к.2",Москва,Россия,5,320,17,17991
"Бескудниковский б-р, дом 6, к 3","Бескудниковский бульв., д.6, к.3",Москва,Россия,7,448,17,25187
"Бескудниковский б-р, дом 24, к 1","Бескудниковский бульв., д.24, к.1",Москва,Россия,6,361,17,20381
"Бескудниковский б-р, дом 32, к 2","Бескудниковский бульв., д.32, к.2",Москва,Россия,1,72,9,2573
"Бескудниковский б-р, дом 40, к 3","Бескудниковский бульв., д.40, к.3",Москва,Россия,1,80,12,3441
"Бескудниковский б-р, дом 2, к 1","Бескудниковский бульв., д.2, к.1",Москва,Россия,5,319,17,17602
"Бескудниковский б-р, дом 36, к 4","Бескудниковский бульв., д.36, к.4",Москва,Россия,1,111,16,5310
"Бескудниковский б-р, дом 20, к 2","Бескудниковский бульв., д.20, к.2",Москва,Россия,1,72,9,2575
"Бескудниковский б-р, дом 4","Бескудниковский бульв., д.4",Москва,Россия,2,105,16,7128
"Бескудниковский проезд, дом 2, к 1","Бескудниковский пр., д.2, к.1",Москва,Россия,2,128,17,6206
"Бескудниковский б-р, дом 36, к 1","Бескудниковский бульв., д.36, к.1",Москва,Россия,1,91,16,5064
"Бескудниковский б-р, дом 20, к 1","Бескудниковский бульв., д.20, к.1",Москва,Россия,1,72,9,2586
"Бескудниковский б-р, дом 20, к 4","Бескудниковский бульв., д.20, к.4",Москва,Россия,1,72,9,2602
"Бескудниковский б-р, дом 40, к 1","Бескудниковский бульв., д.40, к.1",Москва,Россия,1,79,12,3480
"Бескудниковский б-р, дом 10, к 3","Бескудниковский бульв., д.10, к.3",Москва,Россия,1,72,9,2585
"Бескудниковский б-р, дом 28, к 3","Бескудниковский бульв., д.28, к.3",Москва,Россия,1,72,9,2614
"Бескудниковский б-р, дом 28, к 5","Бескудниковский бульв., д.28, к.5",Москва,Россия,1,161,24,8618
"Бескудниковский б-р, дом 38, к 1","Бескудниковский бульв., д.38, к.1",Москва,Россия,1,161,24,8584
"Бескудниковский б-р, дом 20, к 5","Бескудниковский бульв., д.20, к.5",Москва,Россия,1,161,24,8640
"Бескудниковский б-р, дом 30, к 3","Бескудниковский бульв., д.30, к.3",Москва,Россия,5,296,17,16746
"Бескудниковский проезд, дом 4, к 1","Бескудниковский пр., д.4, к.1",Москва,Россия,4,259,17,14438
"Бескудниковский б-р, дом 30, к 4","Бескудниковский бульв., д.30, к.4",Москва,Россия,3,294,22,14845
"Бескудниковский б-р, дом 32, к 5","Бескудниковский бульв., д.32, к.5",Москва,Россия,3,182,14,9192
"Бескудниковский б-р, дом 16, к 3","Бескудниковский бульв., д.16, к.3",Москва,Россия,1,72,9,2577
"Бескудниковский б-р, дом 28, к 4","Бескудниковский бульв., д.28, к.4",Москва,Россия,1,72,9,2574
"Бескудниковский б-р, дом 10, к 4","Бескудниковский бульв., д.10, к.4",Москва,Россия,1,72,9,2589
"Бескудниковский б-р, дом 2, к 2","Бескудниковский бульв., д.2, к.2",Москва,Россия,2,135,17,7419
"Бескудниковский б-р, дом 6, к 2","Бескудниковский бульв., д.6, к.2",Москва,Россия,6,384,17,21922
"Бескудниковский б-р, дом 22","Бескудниковский бульв., д.22",Москва,Россия,5,298,17,16850
"Бескудниковский б-р, дом 16, к 4","Бескудниковский бульв., д.16, к.4",Москва,Россия,1,72,9,2574
"Бескудниковский б-р, дом 40, к 2","Бескудниковский бульв., д.40, к.2",Москва,Россия,1,77,12,3288
"Бескудниковский б-р, дом 28, к 2","Бескудниковский бульв., д.28, к.2",Москва,Россия,1,72,9,2589
"Бескудниковский б-р, дом 16, к 2","Бескудниковский бульв., д.16, к.2",Москва,Россия,1,72,9,2573
"Бескудниковский б-р, дом 20, к 3","Бескудниковский бульв., д.20, к.3",Москва,Россия,1,72,9,2554
"Бескудниковский б-р, дом 32, к 3","Бескудниковский бульв., д.32, к.3",Москва,Россия,1,72,9,2592
"Бескудниковский б-р, дом 32, к 1","Бескудниковский бульв., д.32, к.1",Москва,Россия,1,72,9,2647
"Бескудниковский б-р, дом 10, к 1","Бескудниковский бульв., д.10, к.1",Москва,Россия,1,72,9,2606
"Бескудниковский б-р, дом 10, к 5","Бескудниковский бульв., д.10, к.5",Москва,Россия,1,160,24,8471
"Бескудниковский б-р, дом 6, к 4","Бескудниковский бульв., д.6, к.4",Москва,Россия,5,244,14,13913
"Бескудниковский б-р, дом 16, к 1","Бескудниковский бульв., д.16, к.1",Москва,Россия,1,72,9,2576
"Бескудниковский б-р, дом 28, к 1","Бескудниковский бульв., д.28, к.1",Москва,Россия,1,72,9,2578
"1-й Боткинский проезд, дом 4","Боткинский 1-й пр., д.4",Москва,Россия,6,111,7,7381
"1-й Боткинский проезд, дом 2/6","Боткинский 1-й пр., д.2/6",Москва,Россия,9,159,7,11169
"1-й Боткинский проезд, дом 6","Боткинский 1-й пр., д.6",Москва,Россия,6,170,11,11597
"Бутырская ул, дом 93","Бутырская ул., д.93",Москва,Россия,1,67,9,2422
"Бутырская ул, дом 53, к 1","Бутырская ул., д.53, к.1",Москва,Россия,3,97,8,5560
"Бутырская ул, дом 3","Бутырская ул., д.3",Москва,Россия,4,111,8,4664
"Бутырская ул, дом 5","Бутырская ул., д.5",Москва,Россия,3,96,9,4222
"Бутырская ул, дом 91","Бутырская ул., д.91",Москва,Россия,1,64,9,2310
"Бутырская ул, дом 97","Бутырская ул., д.97",Москва,Россия,6,184,9,8300
"Бутырская ул, дом 89, к 2","Бутырская ул., д.89, к.2",Москва,Россия,4,80,5,3511
"Бутырская ул, дом 89","Бутырская ул., д.89",Москва,Россия,1,64,9,2330
"Бутырская ул, дом 79","Бутырская ул., д.79",Москва,Россия,4,256,17,14054
"Бутырская ул, дом 53, к 3","Бутырская ул., д.53, к.3",Москва,Россия,2,71,8,3694
"Бутырская ул, дом 17А","Бутырская ул., д.17А",Москва,Россия,3,24,5,1028
"Бутырская ул, дом 65/68","Бутырская ул., д.65/68",Москва,Россия,5,127,8,8662
"Бутырская ул, дом 53, к 2","Бутырская ул., д.53, к.2",Москва,Россия,2,79,8,4124
"Бутырская ул, дом 95","Бутырская ул., д.95",Москва,Россия,1,64,9,2314
"Бутырская ул, дом 19","Бутырская ул., д.19",Москва,Россия,3,60,5,2431
"Бутырская ул, дом 11","Бутырская ул., д.11",Москва,Россия,3,270,16,14005
"Бутырская ул, дом 7","Бутырская ул., д.7",Москва,Россия,4,128,9,5655
"Бутырская ул, дом 15","Бутырская ул., д.15",Москва,Россия,3,270,16,13836
"Бутырская ул, дом 9, к 1","Бутырская ул., д.9, к.1",Москва,Россия,3,80,8,4747
"Бутырская ул, дом 9, к 2","Бутырская ул., д.9, к.2",Москва,Россия,3,96,9,3949
"Бутырская ул, дом 21","Бутырская ул., д.21",Москва,Россия,3,270,16,13920
"Верхняя ул, дом 6","Верхняя ул., д.6",Москва,Россия,1,75,14,3799
"Верхняя аллея, дом 1","Верхняя аллея, д.1",Москва,Россия,1,403,16,9026
