31,"Астрадамская ул, дом 9, к 2","Астрадамская ул., д.9, к.2","Москва","Россия",1,9,72,2600,,,37.563223,55.813091,"2014-06-22 22:35:31.934586","2014-06-22 19:30:19.014983"
32,"Астрадамская ул, дом 15Б","Астрадамская ул., д.15Б","Москва","Россия",4,5,79,3368,,,37.560404,55.813636,"2014-06-22 22:35:31.945363","2014-06-22 19:30:19.493899"
33,"Астрадамская ул, дом 5","Астрадамская ул., д.5","Москва","Россия",1,12,84,3632,,,37.564745,55.811737,"2014-06-22 22:35:31.957104","2014-06-22 19:30:19.911026"
34,"Астрадамская ул, дом 7А","Астрадамская ул., д.7А","Москва","Россия",3,5,60,2497,,,37.562591,55.812,"2014-06-22 22:35:31.968948","2014-06-22 19:30:20.385927"
35,"Астрадамская ул, дом 1, к 2","Астрадамская ул., д.1, к.2","Москва","Россия",3,5,60,2571,,,37.56478,55.810651,"2014-06-22 22:35:31.982177","2014-06-22 19:30:20.834787"
36,"Астрадамская ул, дом 11, к 2","Астрадамская ул., д.11, к.2","Москва","Россия",3,5,44,2416,,,37.562371,55.813507,"2014-06-22 22:35:31.993683","2014-06-22 19:30:21.294824"
37,"Астрадамская ул, дом 11, к 1","Астрадамская ул., д.11, к.1","Москва","Россия",4,5,60,3272,,,37.563008,55.813675,"2014-06-22 22:35:32.005836","2014-06-22 19:30:21.736285"
38,"Астрадамская ул, дом 1, к 1","Астрадамская ул., д.1, к.1","Москва","Россия",4,5,68,2863,,,37.565693,55.81065,"2014-06-22 22:35:32.017481","2014-06-22 19:30:22.200712"
39,"Астрадамский проезд, дом 4А, к 2","Астрадамский пр., д.4А, к.2","Москва","Россия",1,30,196,17421,,,37.5618213,55.8114015,"2014-06-22 22:35:32.028518","2014-06-22 19:26:52.306977"
40,"Астрадамский проезд, дом 1","Астрадамский пр., д.1","Москва","Россия",4,5,80,3425,,,37.5588989,55.81193,"2014-06-22 22:35:32.039388","2014-06-22 19:26:52.495676"
41,"Астрадамский проезд, дом 4А, к 1","Астрадамский пр., д.4А, к.1","Москва","Россия",1,30,192,17323,,,37.561225,55.811102,"2014-06-22 22:35:32.048944","2014-06-22 19:26:52.717870"
42,"Астрадамский проезд, дом 3","Астрадамский пр., д.3","Москва","Россия",4,5,80,3520,,,37.5598,55.812109,"2014-06-22 22:35:32.059950","2014-06-22 19:26:52.919678"
43,"проезд Аэропорта, дом 6","Аэропорта пр., д.6","Москва","Россия",5,5,100,3949,,,37.523258,55.797437,"2014-06-22 22:35:32.069747","2014-06-22 19:26:53.180092"
44,"проезд Аэропорта, дом 3","Аэропорта пр., д.3","Москва","Россия",3,5,60,2493,,,37.523224,55.796507,"2014-06-22 22:35:32.080916","2014-06-22 19:26:53.391754"
45,"проезд Аэропорта, дом 11","Аэропорта пр., д.11","Москва","Россия",3,5,58,3732,,,37.522157,55.796862,"2014-06-22 22:35:32.092213","2014-06-22 19:30:22.999195"
46,"проезд Аэропорта, дом 11Б","Аэропорта пр., д.11Б","Москва","Россия",3,5,54,3683,,,37.521759,55.79557,"2014-06-22 22:35:32.103821","2014-06-22 19:30:23.725020"
47,"проезд Аэропорта, дом 11А","Аэропорта пр., д.11А","Москва","Россия",3,5,51,3329,,,37.522315,55.796183,"2014-06-22 22:35:32.113603","2014-06-22 19:30:24.255612"
48,"Башиловская ул, дом 21","Башиловская ул., д.21","Москва","Россия",4,12,185,9287,,,37.574589,55.801362,"2014-06-22 22:35:32.125750","2014-06-22 19:30:24.787558"
49,"Башиловская ул, дом 7","Башиловская ул., д.7","Москва","Россия",4,5,79,3364,,,37.576168,55.795468,"2014-06-22 22:35:32.137215","2014-06-22 19:30:25.234261"
50,"Башиловская ул, дом 14, к 2","Башиловская ул., д.14, к.2","Москва","Россия",2,5,40,1555,,,37.577051,55.797712,"2014-06-22 22:35:32.147903","2014-06-22 19:30:25.704556"
51,"Башиловская ул, дом 19","Башиловская ул., д.19","Москва","Россия",5,9,160,6932,,,37.5753196,55.7998466,"2014-06-22 22:35:32.157903","2014-06-22 19:30:26.166185"
52,"Башиловская ул, дом 1, к 1","Башиловская ул., д.1, к.1","Москва","Россия",6,9,191,9307,,,37.576704,55.792846,"2014-06-22 22:35:32.169690","2014-06-22 19:26:54.426712"
53,"Башиловская ул, дом 28","Башиловская ул., д.28","Москва","Россия",3,5,30,2663,,,37.573576,55.805083,"2014-06-22 22:35:32.180812","2014-06-22 19:26:54.625817"
54,"Башиловская ул, дом 27","Башиловская ул., д.27","Москва","Россия",3,5,60,2508,,,37.573046,55.804565,"2014-06-22 22:35:32.192217","2014-06-22 19:26:54.809311"
55,"Башиловская ул, дом 1, к 2","Башиловская ул., д.1, к.2","Москва","Россия",1,14,111,5441,,,37.57547,55.793155,"2014-06-22 22:35:32.204409","2014-06-22 19:26:55.008623"
56,"Башиловская ул, дом 30","Башиловская ул., д.30","Москва","Россия",1,12,80,3474,,,37.573576,55.805643,"2014-06-22 22:35:32.216197","2014-06-22 19:26:55.190578"
57,"Башиловская ул, дом 17","Башиловская ул., д.17","Москва","Россия",6,7,67,5391,,,37.5749629,55.798967,"2014-06-22 22:35:32.227509","2014-06-22 19:30:26.632839"
58,"Башиловская ул, дом 23, к 4","Башиловская ул., д.23, к.4","Москва","Россия",2,16,195,9987,,,37.5716279,55.802238,"2014-06-22 22:35:32.237179","2014-06-22 19:30:27.090545"
59,"Башиловская ул, дом 29","Башиловская ул., д.29","Москва","Россия",1,12,80,3448,,,37.572528,55.805344,"2014-06-22 22:35:32.249701","2014-06-22 19:30:27.532363"
60,"Башиловская ул, дом 6","Башиловская ул., д.6","Москва","Россия",1,9,68,2448,,,37.577065,55.795325,"2014-06-22 22:35:32.261212","2014-06-22 19:30:27.962807"
61,"Башиловская ул, дом 23, к 2","Башиловская ул., д.23, к.2","Москва","Россия",2,16,194,10037,,,37.57318,55.801473,"2014-06-22 22:35:32.272576","2014-06-22 19:26:56.474993"
62,"Башиловская ул, дом 11","Башиловская ул., д.11","Москва","Россия",3,5,46,3088,,,37.575724,55.796714,"2014-06-22 22:35:32.284007","2014-06-22 19:26:56.669703"
63,"Башиловская ул, дом 9","Башиловская ул., д.9","Москва","Россия",3,5,60,2475,,,37.5758409,55.796034,"2014-06-22 22:35:32.296034","2014-06-22 19:26:56.856378"
64,"Башиловская ул, дом 26","Башиловская ул., д.26","Москва","Россия",3,5,36,3139,,,37.5741156,55.8045062,"2014-06-22 22:35:32.308046","2014-06-22 19:26:57.092407"
65,"Башиловская ул, дом 14, к 1","Башиловская ул., д.14, к.1","Москва","Россия",2,5,38,1540,,,37.576721,55.797455,"2014-06-22 22:35:32.319497","2014-06-22 19:26:57.424476"
66,"Башиловская ул, дом 23, к 3","Башиловская ул., д.23, к.3","Москва","Россия",1,16,111,5335,,,37.5729283,55.8020842,"2014-06-22 22:35:32.329171","2014-06-22 19:26:57.591301"
67,"Башиловская ул, дом 32","Башиловская ул., д.32","Москва","Россия",3,5,60,2502,,,37.573028,55.806331,"2014-06-22 22:35:32.342316","2014-06-22 19:30:28.407658"
68,"Башиловская ул, дом 8","Башиловская ул., д.8","Москва","Россия",1,9,72,2563,,,37.577238,55.795588,"2014-06-22 22:35:32.353468","2014-06-22 19:30:28.853583"
69,"Башиловская ул, дом 23, к 1","Башиловская ул., д.23, к.1","Москва","Россия",5,8,140,6227,,,37.5743826,55.8023011,"2014-06-22 22:35:32.364888","2014-06-22 19:30:29.310286"
70,"Башиловская ул, дом 13","Башиловская ул., д.13","Москва","Россия",3,5,45,2450,,,37.575854,55.797287,"2014-06-22 22:35:32.376412","2014-06-22 19:30:29.747841"
71,"Башиловская ул, дом 15","Башиловская ул., д.15","Москва","Россия",4,5,40,3188,,,37.575609,55.798243,"2014-06-22 22:35:32.387743","2014-06-22 19:26:58.265308"
72,"Башиловская ул, дом 25","Башиловская ул., д.25","Москва","Россия",4,5,80,3458,,,37.5739131,55.8039144,"2014-06-22 22:35:32.397717","2014-06-22 19:26:58.559634"
73,"Башиловская ул, дом 3, к 1","Башиловская ул., д.3, к.1","Москва","Россия",6,9,192,9378,,,37.576428,55.794204,"2014-06-22 22:35:32.410247","2014-06-22 19:26:58.774507"
74,"Башиловская ул, дом 10","Башиловская ул., д.10","Москва","Россия",7,5,133,5451,,,37.576932,55.796393,"2014-06-22 22:35:32.422738","2014-06-22 19:26:59.048662"
75,"Башиловская ул, дом 3, к 2","Башиловская ул., д.3, к.2","Москва","Россия",1,12,92,3476,,,37.575472,55.794142,"2014-06-22 22:35:32.433990","2014-06-22 19:26:59.253455"
76,"2-я ул Бебеля, дом 38, к 3","Бебеля 2-я ул., д.38, к.3","Москва","Россия",3,5,44,2439,,,37.5704905,55.7967789,"2014-06-22 22:35:32.446013","2014-06-22 19:26:59.412956"
77,"1-я ул Бебеля, дом 7А","Бебеля 1-я ул., д.7А","Москва","Россия",4,5,80,3525,,,37.5711629,55.7940569,"2014-06-22 22:35:32.457089","2014-06-22 19:30:30.186753"
78,"1-я ул Бебеля, дом 3","Бебеля 1-я ул., д.3","Москва","Россия",4,5,80,3491,,,37.5722355,55.7928245,"2014-06-22 22:35:32.468283","2014-06-22 19:30:35.284990"
79,"1-я ул Бебеля, дом 7","Бебеля 1-я ул., д.7","Москва","Россия",4,5,80,3497,,,37.5719801,55.7941105,"2014-06-22 22:35:32.478494","2014-06-22 19:30:35.738721"
80,"2-я ул Бебеля, дом 26","Бебеля 2-я ул., д.26","Москва","Россия",8,5,180,7739,,,37.5707221,55.7952768,"2014-06-22 22:35:32.490277","2014-06-22 19:30:36.222462"
81,"3-я ул Бебеля, дом 34","Бебеля 3-я ул., д.34","Москва","Россия",2,5,80,3227,,,37.5751009,55.796234,"2014-06-22 22:35:32.501641","2014-06-22 19:30:36.678088"
82,"2-я ул Бебеля, дом 38, к 1","Бебеля 2-я ул., д.38, к.1","Москва","Россия",3,5,45,2560,,,37.57106,55.796192,"2014-06-22 22:35:32.512993","2014-06-22 19:30:37.150108"
83,"1-я ул Бебеля, дом 3А","Бебеля 1-я ул., д.3А","Москва","Россия",4,5,80,3458,,,37.571505,55.792785,"2014-06-22 22:35:32.524459","2014-06-22 19:27:00.278961"
